Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
4/10/1992,85.62,86.12,84.5,86,2052900,0,1,13.71342324,13.7935063,13.53403718,13.77428636,8211600
4/9/1992,85.37,85.87,84.62,85.12,2275600,0,1,13.67338171,13.75346477,13.55325712,13.63334018,9102400
4/8/1992,82.62,85,82.62,84.87,3020100,0,1,13.23292488,13.61412024,13.23292488,13.59329865,12080400
4/7/1992,83.37,84.87,82.25,82.37,1926400,0,1,13.35304947,13.59329865,13.17366341,13.19288334,7705600
4/6/1992,82,83.12,81.62,83.12,1421300,0,1,13.13362188,13.31300794,13.07275875,13.31300794,5685200
4/3/1992,82.12,82.37,81.75,81.75,1727500,0,1,13.15284181,13.19288334,13.09358035,13.09358035,6910000
4/2/1992,83.25,83.5,81.87,82.25,2072800,0,1,13.33382953,13.37387106,13.11280028,13.17366341,8291200
4/1/1992,83.5,83.5,82.75,82.87,1968600,0,1,13.37387106,13.37387106,13.25374647,13.27296641,7874400
3/31/1992,83.37,84.87,83.37,83.5,1619800,0,1,13.35304947,13.59329865,13.35304947,13.37387106,6479200
3/30/1992,83.37,83.87,83.12,83.37,1350500,0,1,13.35304947,13.43313253,13.31300794,13.35304947,5402000
3/27/1992,84,84.37,83.12,83.25,2143100,0,1,13.45395412,13.51321559,13.31300794,13.33382953,8572400
3/26/1992,85.37,85.37,84.12,84.12,1590100,0,1,13.67338171,13.67338171,13.47317406,13.47317406,6360400
3/25/1992,85.12,86,84.75,85.12,1315300,0,1,13.63334018,13.77428636,13.57407871,13.63334018,5261200
3/24/1992,85.75,86,85,85.25,1833500,0,1,13.73424483,13.77428636,13.61412024,13.65416177,7334000
3/23/1992,86,86.75,85.62,85.62,1249000,0,1,13.77428636,13.89441095,13.71342324,13.71342324,4996000
3/20/1992,85.87,86.62,85.75,86.12,1962400,0,1,13.75346477,13.87358936,13.73424483,13.7935063,7849600
3/19/1992,85.87,87.12,85.62,85.87,1922900,0,1,13.75346477,13.95367242,13.71342324,13.75346477,7691600
3/18/1992,87.37,88.5,87.25,87.5,1073100,0,1,13.99371395,14.17470166,13.97449401,14.01453554,4292400
3/17/1992,88.75,88.87,87.37,87.62,1471700,0,1,14.21474319,14.23396313,13.99371395,14.03375548,5886800
3/16/1992,89.25,89.62,88.25,88.75,975800,0,1,14.29482625,14.35408772,14.13466013,14.21474319,3903200
3/13/1992,90.25,90.25,89.12,89.62,1343400,0,1,14.45499237,14.45499237,14.27400466,14.35408772,5373600
3/12/1992,87.62,89.12,87.62,89.12,1349700,0,1,14.03375548,14.27400466,14.03375548,14.27400466,5398800
3/11/1992,87.87,88.37,87.12,87.75,1217600,0,1,14.07379701,14.15388007,13.95367242,14.05457707,4870400
3/10/1992,87.75,88.37,87.5,87.87,1263800,0,1,14.05457707,14.15388007,14.01453554,14.07379701,5055200
3/9/1992,86.37,87.37,85.12,87.37,1578800,0,1,13.83354783,13.99371395,13.63334018,13.99371395,6315200
3/6/1992,86.75,87.25,86,86.37,1812800,0,1,13.89441095,13.97449401,13.77428636,13.83354783,7251200
